,Entity,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled),GDP_PPP
1674,New Zealand,1990,0.0,0.0,0.0,64.40361944444444,0.0,44.448591944444445,13.928279166666666,50.692280277777776,2.608536842,49494148953.8073
1675,New Zealand,1991,0.0,0.0,0.0,63.595735,0.0,48.34570138888889,13.28054388888889,51.45549222222222,2.785168421,50920076386.4824
1676,New Zealand,1992,0.0,0.0,0.0019194444444444,58.590740833333335,0.0,51.16109083333333,14.623766111111111,53.09952166666666,2.761105263,52698533576.7729
1677,New Zealand,1993,0.0,0.0,0.0027388888888888,65.25805277777778,0.0,49.90051333333333,14.406294999999998,52.60847416666667,2.883210526,57033823097.0293
1678,New Zealand,1994,0.0,0.0,0.0028055555555555,71.76966888888889,0.0,46.77109388888889,13.617704444444444,61.27751222222222,2.736631579,61899494624.104
1679,New Zealand,1995,0.0,0.0,0.0028055555555555,76.48543777777778,0.0,44.630495,13.655409722222222,65.90586499999999,2.68163,65810492915.3674
1680,New Zealand,1996,0.0,0.0,0.0231388888888888,72.73035916666667,0.0,50.87484222222222,13.457762222222222,67.3235588888889,2.625497053,68930604408.3788
1681,New Zealand,1997,0.0,0.0,0.0377599999999999,64.60600444444444,0.0,54.805139722222215,14.528347222222225,71.26418555555556,2.717384211,72388499334.5769
1682,New Zealand,1998,0.0,0.0,0.0613047222222222,70.33148138888889,0.0,48.31147944444444,13.247123055555557,72.12576555555555,3.085457158,73810390775.1176
1683,New Zealand,1999,0.0,0.0,0.1083136111111111,63.66537611111111,0.0,55.23370694444444,13.571336388888888,72.49217277777778,3.309065263,78923926226.423
1684,New Zealand,2000,0.0,0.0,0.3339113888888889,67.87491583333333,0.0,58.75267083333333,12.859931944444444,74.48423,3.479374737,82993411165.6987
1685,New Zealand,2001,0.0,0.0,0.3835705555555555,59.83437472222222,0.0,61.99313805555556,15.92658,74.82283416666667,3.304957895,87345928885.1912
1686,New Zealand,2002,0.0,0.0,0.4263247222222222,68.20022972222222,0.0,59.18194444444444,15.918619444444444,77.64874027777778,3.175872031,92024844754.3231
1687,New Zealand,2003,0.0,0.0,0.3992302777777777,64.35697777777777,0.0,44.62403805555556,22.974430833333333,81.95574861111112,3.109105175,96546618676.8686
1688,New Zealand,2004,0.0,0.0,0.9786819444444445,73.73909027777778,0.0,40.71816555555556,23.73867111111112,82.34383333333332,3.214028747,102560104153.326
1689,New Zealand,2005,0.0,0.0,1.6526202777777776,62.748170833333326,0.0,37.57624583333333,26.42747222222222,85.36834527777778,3.628733543,106147882736.156
1690,New Zealand,2006,0.0,0.0,1.6631583333333333,63.01018055555556,0.0,38.15442166666666,26.021524444444445,86.19497055555556,3.888909929,116145778469.234
1691,New Zealand,2007,0.0,0.0090555555555555,2.469993333333333,62.79507555555556,0.0,42.15231444444445,19.720991388888887,86.59054472222222,4.082557291,124052195848.734
1692,New Zealand,2008,0.0,0.0091111111111111,2.794065277777777,58.99141916666667,0.0,39.04519416666667,24.47237138888889,87.75179999999999,4.729699258,127057661824.005
1693,New Zealand,2009,0.0,0.0094166666666666,3.8734313888888887,63.53341055555556,0.0,40.13894222222222,18.818950277777777,83.75265555555556,5.418774847,132009122772.214
1694,New Zealand,2010,0.0,0.0099722222222222,4.268709722222222,64.47095194444444,0.0,43.75998861111111,16.0719825,83.84572638888888,6.44307175,135839532696.295
1695,New Zealand,2011,0.0,0.0106944444444444,5.07206111111111,65.07337555555556,0.0,40.21550305555556,16.26965722222222,86.3884636111111,6.790536773,143362843769.664
1696,New Zealand,2012,0.0,0.0124166666666666,5.355503611111111,58.976235277777775,0.0,44.64666611111112,20.27202861111111,85.12607444444444,6.878873563,145417090682.004
1697,New Zealand,2013,0.0,0.0169722222222222,5.176475555555556,58.95997583333333,0.0,46.826726388888886,17.877504166666668,86.34339472222223,7.217165714,160993347759.546
1698,New Zealand,2014,0.0,0.0473638888888888,5.627365833333333,61.887280277777776,0.0,52.16566944444444,16.50988361111111,87.80661333333333,7.988319337,168435445919.777
